campLocation,timestamp,source,destination,user,device,eventType,eventDescription,eventSeverity,mlRiskScore
Bangalore,2023-09-14T18:18,10.0.0.2,192.168.0.3,guest,DeviceXYZ,software-update,Software update: Software5 updated to version v4,error,0.27
Bangalore,2023-09-13T08:10,10.0.0.2,192.168.2.6,user123,ServerABC,dns-queries,DNS query from IP 10.0.0.2 for domain 'example11.com',critical,0.17
Bangalore,2023-09-18T08:09,10.1.1.1,10.0.0.3,admin,Workstation123,auth-lockout,User 'admin' locked out after multiple failed login attempts from IP 10.1.1.1,error,0.37
Bangalore,2023-09-15T16:57,10.0.0.2,10.0.0.3,anonymous,DeviceXYZ,dns-queries,DNS query from IP 10.0.0.2 for domain 'example323.com',critical,0.17
Bangalore,2023-09-17T16:39,192.168.0.1,10.10.10.20,admin,ServerABC,network-connected,Device 'ServerABC' connected to the network at IP 192.168.0.1,informational,0.13
Bangalore,2023-09-18T01:48,172.16.0.10,192.168.2.6,guest,Workstation123,api-called,API called: API4 from IP 172.16.0.10,warning,0.20
Bangalore,2023-09-13T15:10,10.1.1.1,10.0.0.101,anonymous,Workstation123,system-restart,System restart: Reason5,error,0.30
Bangalore,2023-09-18T15:40,192.168.10.5,10.0.0.101,user123,DeviceXYZ,system-failure,Critical system failure: Error message: 2,critical,0.37
Bangalore,2023-09-13T06:05,172.16.0.10,172.16.1.101,user123,ServerABC,auth-lockout,User 'user123' locked out after multiple failed login attempts from IP 172.16.0.10,critical,0.37
Bangalore,2023-09-17T15:30,192.168.0.1,192.168.0.3,admin,ServerABC,system-failure,Critical system failure: Error message: 31,critical,0.37
Bangalore,2023-09-17T12:03,192.168.10.5,10.1.1.2,guest,ServerABC,system-shutdown,System shutdown: Reason7,critical,0.33
Bangalore,2023-09-15T11:47,192.168.10.5,10.10.10.20,anonymous,Workstation123,system-shutdown,System shutdown: Reason7,critical,0.33
Bangalore,2023-09-15T14:52,10.10.10.10,10.0.0.101,user123,Workstation123,malware-detection,Malware detected: File 'file358.txt' found on device 'Workstation123',error,0.37
Bangalore,2023-09-16T03:40,10.0.0.100,10.1.1.2,anonymous,DeviceXYZ,dns-queries,DNS query from IP 10.0.0.100 for domain 'example149.com',informational,0.17
Bangalore,2023-09-13T16:05,10.1.1.1,10.0.0.101,anonymous,DeviceXYZ,auth-failed,Failed login attempt for user 'anonymous' from IP 10.1.1.1,informational,0.33
Bangalore,2023-09-13T16:16,10.0.0.100,10.1.1.2,anonymous,Workstation123,application-usage,User 'anonymous' used application 'App8',warning,0.13
Bangalore,2023-09-14T09:33,9.219.109.30,29.219.62.57,anonymous,Workstation123,system-restart,System restart: Reason4,error,0.83
Bangalore,2023-09-17T19:45,172.16.1.100,192.168.0.3,guest,DeviceXYZ,permission-changes,User 'guest' changed permissions for file '/path/to/file276.txt',critical,0.17
Bangalore,2023-09-12T21:15,192.168.0.1,10.0.0.101,user123,ServerABC,system-shutdown,System shutdown: Reason6,error,0.33
Bangalore,2023-09-12T23:01,47.181.174.137,224.67.95.6,admin,Workstation123,auth-success,Successful login for user 'admin' from IP 47.181.174.137,critical,0.63
Bangalore,2023-09-16T17:11,10.10.10.10,10.0.0.101,anonymous,Workstation123,network-disconnected,Device 'Workstation123' disconnected from the network at IP 10.10.10.10,error,0.13
Bangalore,2023-09-14T18:32,10.0.0.2,10.0.0.3,admin,Workstation123,network-connected,Device 'Workstation123' connected to the network at IP 10.0.0.2,warning,0.13
Bangalore,2023-09-13T15:30,192.168.10.5,192.168.0.2,anonymous,Workstation123,network-connected,Device 'Workstation123' connected to the network at IP 192.168.10.5,warning,0.13
Bangalore,2023-09-18T13:12,10.10.10.10,172.16.1.101,anonymous,ServerABC,application-usage,User 'anonymous' used application 'App7',critical,0.13
Bangalore,2023-09-17T12:46,10.0.0.100,192.168.2.6,anonymous,Workstation123,malware-detection,Malware detected: File 'file612.txt' found on device 'Workstation123',critical,0.37
Bangalore,2023-09-16T14:52,10.0.0.2,10.10.10.20,anonymous,DeviceXYZ,system-shutdown,System shutdown: Reason3,critical,0.33
Bangalore,2023-09-14T22:51,172.16.0.10,172.16.1.101,anonymous,DeviceXYZ,system-failure,Critical system failure: Error message: 64,error,0.37
Bangalore,2023-09-15T21:38,10.0.0.2,192.168.0.3,user123,Workstation123,file-access,File access: Write to file '/path/to/file676.txt' by user 'user123' from IP 10.0.0.2,warning,0.23
Bangalore,2023-09-14T13:38,10.1.1.1,172.16.0.20,anonymous,DeviceXYZ,auth-failed,Failed login attempt for user 'anonymous' from IP 10.1.1.1,informational,0.33
Bangalore,2023-09-13T00:15,192.168.0.1,172.16.0.20,admin,ServerABC,dns-queries,DNS query from IP 192.168.0.1 for domain 'example253.com',warning,0.17
Bangalore,2023-09-14T03:25,192.168.0.1,10.1.1.2,anonymous,ServerABC,auth-lockout,User 'anonymous' locked out after multiple failed login attempts from IP 192.168.0.1,error,0.37
Bangalore,2023-09-16T04:52,10.0.0.2,192.168.10.6,admin,DeviceXYZ,application-usage,User 'admin' used application 'App8',critical,0.13
Bangalore,2023-09-13T11:17,172.16.1.100,192.168.0.3,admin,DeviceXYZ,network-connected,Device 'DeviceXYZ' connected to the network at IP 172.16.1.100,critical,0.13
Bangalore,2023-09-17T04:26,172.16.1.100,192.168.2.6,anonymous,Workstation123,system-restart,System restart: Reason8,informational,0.30
Bangalore,2023-09-16T15:03,10.1.1.1,10.1.1.2,admin,DeviceXYZ,application-errors,Application error: Error message: 61,informational,0.27
Bangalore,2023-09-17T08:15,10.10.10.10,10.0.0.101,admin,ServerABC,application-errors,Application error: Error message: 41,critical,0.27
Bangalore,2023-09-15T06:35,172.16.1.100,172.16.1.101,anonymous,DeviceXYZ,network-connected,Device 'DeviceXYZ' connected to the network at IP 172.16.1.100,warning,0.13
Bangalore,2023-09-14T15:35,172.16.0.10,192.168.0.2,admin,DeviceXYZ,system-shutdown,System shutdown: Reason8,informational,0.33
Bangalore,2023-09-14T11:16,172.16.0.10,10.10.10.20,admin,DeviceXYZ,dns-queries,DNS query from IP 172.16.0.10 for domain 'example526.com',critical,0.17
Bangalore,2023-09-15T18:10,109.165.227.172,114.45.209.78,anonymous,Workstation123,dns-queries,DNS query from IP 109.165.227.172 for domain 'example143.com',warning,0.70
Bangalore,2023-09-12T18:30,192.168.0.1,192.168.2.6,guest,DeviceXYZ,software-update,Software update: Software2 updated to version v3,informational,0.27
Bangalore,2023-09-17T03:35,172.16.1.100,172.16.0.20,user123,ServerABC,network-disconnected,Device 'ServerABC' disconnected from the network at IP 172.16.1.100,critical,0.13
Bangalore,2023-09-17T23:52,172.16.0.10,192.168.2.6,admin,DeviceXYZ,auth-lockout,User 'admin' locked out after multiple failed login attempts from IP 172.16.0.10,informational,0.37
Bangalore,2023-09-15T16:48,10.0.0.2,192.168.0.3,guest,ServerABC,auth-success,Successful login for user 'guest' from IP 10.0.0.2,warning,0.10
Bangalore,2023-09-13T18:11,10.10.10.10,172.16.1.101,admin,DeviceXYZ,malware-detection,Malware detected: File 'file53.txt' found on device 'DeviceXYZ',critical,0.37
Bangalore,2023-09-13T09:26,10.0.0.100,10.10.10.20,user123,ServerABC,system-shutdown,System shutdown: Reason9,error,0.33
Bangalore,2023-09-16T01:12,172.16.1.100,10.1.1.2,admin,Workstation123,application-errors,Application error: Error message: 56,warning,0.27
Bangalore,2023-09-16T16:33,192.168.10.5,10.1.1.2,admin,Workstation123,auth-failed,Failed login attempt for user 'admin' from IP 192.168.10.5,informational,0.33
Bangalore,2023-09-18T14:44,192.168.2.5,10.1.1.2,guest,Workstation123,file-access,File access: Write to file '/path/to/file996.txt' by user 'guest' from IP 192.168.2.5,warning,0.23
Bangalore,2023-09-14T09:22,10.0.0.100,172.16.1.101,admin,ServerABC,system-restart,System restart: Reason9,warning,0.30
Bangalore,2023-09-13T02:24,10.10.10.10,10.0.0.101,admin,ServerABC,auth-lockout,User 'admin' locked out after multiple failed login attempts from IP 10.10.10.10,error,0.37
Bangalore,2023-09-13T09:23,192.168.2.5,192.168.0.2,user123,DeviceXYZ,software-update,Software update: Software7 updated to version v4,error,0.27
Bangalore,2023-09-14T15:18,192.168.10.5,10.10.10.20,guest,Workstation123,dns-queries,DNS query from IP 192.168.10.5 for domain 'example674.com',error,0.17
Bangalore,2023-09-15T05:04,192.168.2.5,172.16.1.101,admin,ServerABC,malware-detection,Malware detected: File 'file564.txt' found on device 'ServerABC',error,0.37
Bangalore,2023-09-17T22:22,192.168.0.1,10.10.10.20,guest,DeviceXYZ,application-usage,User 'guest' used application 'App3',warning,0.13
Bangalore,2023-09-16T16:02,10.0.0.100,10.0.0.101,user123,Workstation123,network-connected,Device 'Workstation123' connected to the network at IP 10.0.0.100,error,0.13
Bangalore,2023-09-13T14:00,10.10.10.10,192.168.0.3,user123,DeviceXYZ,system-failure,Critical system failure: Error message: 90,critical,0.37
Bangalore,2023-09-13T15:31,172.16.1.100,172.16.1.101,anonymous,DeviceXYZ,system-shutdown,System shutdown: Reason8,informational,0.33
Bangalore,2023-09-16T16:28,10.0.0.2,192.168.10.6,admin,ServerABC,auth-lockout,User 'admin' locked out after multiple failed login attempts from IP 10.0.0.2,warning,0.37
Bangalore,2023-09-18T08:13,192.168.2.5,192.168.0.3,user123,ServerABC,system-shutdown,System shutdown: Reason8,error,0.33
Bangalore,2023-09-14T06:59,192.168.10.5,10.0.0.3,anonymous,Workstation123,firewall-change,Firewall rule change: Port 38930 opened for IP 192.168.10.5,warning,0.30
Bangalore,2023-09-15T06:27,63.242.134.112,44.203.122.101,user123,ServerABC,network-disconnected,Device 'ServerABC' disconnected from the network at IP 63.242.134.112,warning,0.67
Bangalore,2023-09-15T19:26,192.168.0.1,10.10.10.20,anonymous,Workstation123,software-update,Software update: Software1 updated to version v2,warning,0.27
Bangalore,2023-09-13T05:15,6.240.241.219,164.76.255.107,anonymous,DeviceXYZ,malware-detection,Malware detected: File 'file598.txt' found on device 'DeviceXYZ',error,0.90
Bangalore,2023-09-15T20:46,172.16.1.100,192.168.10.6,guest,DeviceXYZ,auth-success,Successful login for user 'guest' from IP 172.16.1.100,error,0.10
Bangalore,2023-09-16T20:54,192.168.1.100,172.16.0.20,admin,Workstation123,auth-success,Successful login for user 'admin' from IP 192.168.1.100,warning,0.10
Bangalore,2023-09-14T19:01,172.16.0.10,10.10.10.20,anonymous,ServerABC,software-update,Software update: Software1 updated to version v2,informational,0.27
Bangalore,2023-09-16T16:33,192.168.0.1,10.10.10.20,admin,DeviceXYZ,auth-success,Successful login for user 'admin' from IP 192.168.0.1,informational,0.10
Bangalore,2023-09-14T15:21,10.0.0.100,10.1.1.2,user123,DeviceXYZ,network-connected,Device 'DeviceXYZ' connected to the network at IP 10.0.0.100,informational,0.13
Bangalore,2023-09-12T19:32,172.16.0.10,192.168.0.2,user123,Workstation123,file-access,File access: Write to file '/path/to/file299.txt' by user 'user123' from IP 172.16.0.10,informational,0.23
Bangalore,2023-09-12T15:24,192.168.1.100,10.0.0.101,admin,ServerABC,permission-changes,User 'admin' changed permissions for file '/path/to/file239.txt',critical,0.17
Bangalore,2023-09-14T01:08,192.168.2.5,192.168.0.3,anonymous,DeviceXYZ,application-errors,Application error: Error message: 27,error,0.27
Bangalore,2023-09-15T09:45,192.168.1.100,192.168.0.2,anonymous,DeviceXYZ,network-connected,Device 'DeviceXYZ' connected to the network at IP 192.168.1.100,critical,0.13
Bangalore,2023-09-15T23:24,10.0.0.2,10.10.10.20,guest,Workstation123,auth-success,Successful login for user 'guest' from IP 10.0.0.2,critical,0.10
Bangalore,2023-09-14T14:05,10.0.0.100,172.16.1.101,guest,Workstation123,malware-detection,Malware detected: File 'file42.txt' found on device 'Workstation123',error,0.37
Bangalore,2023-09-15T21:34,10.1.1.1,10.0.0.101,admin,Workstation123,firewall-change,Firewall rule change: Port 18116 opened for IP 10.1.1.1,informational,0.30
Bangalore,2023-09-15T16:03,178.239.159.153,111.191.39.147,user123,ServerABC,system-shutdown,System shutdown: Reason6,error,0.87
Bangalore,2023-09-14T05:17,10.1.1.1,192.168.0.2,admin,ServerABC,auth-lockout,User 'admin' locked out after multiple failed login attempts from IP 10.1.1.1,critical,0.37
Bangalore,2023-09-18T15:34,177.174.103.6,213.246.168.200,anonymous,DeviceXYZ,auth-failed,Failed login attempt for user 'anonymous' from IP 177.174.103.6,error,0.87
Bangalore,2023-09-16T18:01,172.16.0.10,10.1.1.2,anonymous,DeviceXYZ,dns-queries,DNS query from IP 172.16.0.10 for domain 'example977.com',warning,0.17
Bangalore,2023-09-16T15:01,172.16.1.100,10.0.0.101,anonymous,Workstation123,network-disconnected,Device 'Workstation123' disconnected from the network at IP 172.16.1.100,critical,0.13
Bangalore,2023-09-17T10:58,10.1.1.1,10.1.1.2,user123,ServerABC,system-restart,System restart: Reason2,error,0.30
Bangalore,2023-09-17T11:02,10.0.0.100,192.168.0.3,user123,ServerABC,api-called,API called: API5 from IP 10.0.0.100,error,0.20
Bangalore,2023-09-17T08:31,10.0.0.100,10.10.10.20,admin,DeviceXYZ,permission-changes,User 'admin' changed permissions for file '/path/to/file1000.txt',critical,0.17
Bangalore,2023-09-16T10:21,192.168.2.5,192.168.0.2,anonymous,Workstation123,dns-queries,DNS query from IP 192.168.2.5 for domain 'example872.com',warning,0.17
Bangalore,2023-09-15T04:11,50.133.211.2,58.61.32.57,admin,DeviceXYZ,system-shutdown,System shutdown: Reason8,informational,0.87
Bangalore,2023-09-16T06:25,172.16.0.10,172.16.1.101,admin,DeviceXYZ,malware-detection,Malware detected: File 'file212.txt' found on device 'DeviceXYZ',informational,0.37
Bangalore,2023-09-14T18:57,10.0.0.2,10.10.10.20,user123,DeviceXYZ,software-update,Software update: Software10 updated to version v2,error,0.27
Bangalore,2023-09-17T23:48,192.168.1.100,192.168.0.2,anonymous,Workstation123,firewall-change,Firewall rule change: Port 20439 opened for IP 192.168.1.100,informational,0.30
Bangalore,2023-09-16T05:24,192.168.2.5,172.16.0.20,anonymous,DeviceXYZ,malware-detection,Malware detected: File 'file978.txt' found on device 'DeviceXYZ',critical,0.37
Bangalore,2023-09-14T21:33,10.0.0.2,10.0.0.3,anonymous,ServerABC,software-update,Software update: Software10 updated to version v4,informational,0.27
Bangalore,2023-09-14T07:13,192.168.1.100,172.16.1.101,user123,DeviceXYZ,malware-detection,Malware detected: File 'file615.txt' found on device 'DeviceXYZ',informational,0.37
Bangalore,2023-09-17T15:03,172.16.0.10,192.168.10.6,anonymous,DeviceXYZ,software-update,Software update: Software3 updated to version v2,critical,0.27
Bangalore,2023-09-18T13:24,10.0.0.2,192.168.0.2,guest,ServerABC,system-restart,System restart: Reason6,informational,0.30
Bangalore,2023-09-14T06:53,192.168.2.5,192.168.10.6,guest,DeviceXYZ,file-access,File access: Write to file '/path/to/file4.txt' by user 'guest' from IP 192.168.2.5,informational,0.23
Bangalore,2023-09-17T15:57,192.168.10.5,10.10.10.20,guest,Workstation123,file-access,File access: Delete to file '/path/to/file992.txt' by user 'guest' from IP 192.168.10.5,warning,0.23
Bangalore,2023-09-17T00:34,10.10.10.10,10.0.0.101,user123,ServerABC,network-connected,Device 'ServerABC' connected to the network at IP 10.10.10.10,error,0.13
Bangalore,2023-09-12T20:58,10.10.10.10,10.0.0.101,admin,DeviceXYZ,application-errors,Application error: Error message: 69,critical,0.27
Bangalore,2023-09-13T00:43,192.168.1.100,10.0.0.3,user123,ServerABC,auth-lockout,User 'user123' locked out after multiple failed login attempts from IP 192.168.1.100,error,0.37
Bangalore,2023-09-18T09:23,10.0.0.2,192.168.10.6,guest,DeviceXYZ,network-disconnected,Device 'DeviceXYZ' disconnected from the network at IP 10.0.0.2,error,0.13
Bangalore,2023-09-14T12:06,10.0.0.100,192.168.0.2,admin,DeviceXYZ,application-usage,User 'admin' used application 'App4',warning,0.13
Bangalore,2023-09-13T00:38,192.168.1.100,192.168.0.2,guest,DeviceXYZ,system-restart,System restart: Reason4,informational,0.30
Bangalore,2023-09-13T18:51,10.0.0.100,192.168.10.6,admin,DeviceXYZ,permission-changes,User 'admin' changed permissions for file '/path/to/file445.txt',critical,0.17
Bangalore,2023-09-18T06:42,222.38.19.133,148.145.13.131,user123,ServerABC,application-errors,Application error: Error message: 17,error,0.80
Bangalore,2023-09-18T03:24,192.168.0.1,10.1.1.2,user123,Workstation123,api-called,API called: API4 from IP 192.168.0.1,error,0.20
Bangalore,2023-09-15T00:25,192.168.10.5,172.16.1.101,guest,ServerABC,dns-queries,DNS query from IP 192.168.10.5 for domain 'example392.com',informational,0.17
Bangalore,2023-09-16T23:14,192.168.10.5,10.1.1.2,anonymous,ServerABC,api-called,API called: API5 from IP 192.168.10.5,informational,0.20
Bangalore,2023-09-13T21:36,10.0.0.100,10.0.0.101,guest,ServerABC,system-shutdown,System shutdown: Reason3,error,0.33
Bangalore,2023-09-14T13:07,172.16.1.100,192.168.10.6,admin,DeviceXYZ,auth-failed,Failed login attempt for user 'admin' from IP 172.16.1.100,critical,0.33
Bangalore,2023-09-13T09:32,10.10.10.10,192.168.2.6,anonymous,ServerABC,system-restart,System restart: Reason7,critical,0.30
Bangalore,2023-09-17T11:59,10.10.10.10,192.168.0.2,user123,Workstation123,application-errors,Application error: Error message: 13,informational,0.27
Bangalore,2023-09-13T05:05,138.3.13.54,43.136.79.42,anonymous,ServerABC,system-restart,System restart: Reason10,warning,0.83
Bangalore,2023-09-13T08:16,10.10.10.10,172.16.1.101,user123,ServerABC,network-connected,Device 'ServerABC' connected to the network at IP 10.10.10.10,error,0.13
Bangalore,2023-09-13T17:20,10.1.1.1,192.168.0.3,anonymous,ServerABC,api-called,API called: API4 from IP 10.1.1.1,informational,0.20
Bangalore,2023-09-12T15:22,10.1.1.1,192.168.2.6,admin,Workstation123,permission-changes,User 'admin' changed permissions for file '/path/to/file104.txt',informational,0.17
Bangalore,2023-09-14T05:53,10.10.10.10,192.168.0.2,anonymous,Workstation123,firewall-change,Firewall rule change: Port 34516 opened for IP 10.10.10.10,informational,0.30
Bangalore,2023-09-13T19:48,10.1.1.1,172.16.1.101,guest,DeviceXYZ,network-disconnected,Device 'DeviceXYZ' disconnected from the network at IP 10.1.1.1,error,0.13
Bangalore,2023-09-15T01:51,10.0.0.100,192.168.0.3,user123,DeviceXYZ,api-called,API called: API2 from IP 10.0.0.100,critical,0.20
Bangalore,2023-09-13T16:01,192.168.10.5,192.168.2.6,anonymous,DeviceXYZ,file-access,File access: Read to file '/path/to/file898.txt' by user 'anonymous' from IP 192.168.10.5,informational,0.23
Bangalore,2023-09-15T09:11,172.16.0.10,192.168.0.2,admin,Workstation123,permission-changes,User 'admin' changed permissions for file '/path/to/file138.txt',critical,0.17
Bangalore,2023-09-16T12:31,172.16.0.10,10.0.0.101,anonymous,ServerABC,file-access,File access: Read to file '/path/to/file510.txt' by user 'anonymous' from IP 172.16.0.10,informational,0.23
Bangalore,2023-09-16T17:38,10.0.0.100,10.10.10.20,guest,Workstation123,application-errors,Application error: Error message: 81,informational,0.27
Bangalore,2023-09-16T09:15,192.168.1.100,10.10.10.20,admin,DeviceXYZ,network-disconnected,Device 'DeviceXYZ' disconnected from the network at IP 192.168.1.100,warning,0.13
Bangalore,2023-09-16T13:07,192.168.2.5,10.0.0.3,guest,ServerABC,dns-queries,DNS query from IP 192.168.2.5 for domain 'example248.com',warning,0.17
Bangalore,2023-09-13T20:55,192.168.2.5,10.0.0.101,user123,Workstation123,system-restart,System restart: Reason5,critical,0.30
Bangalore,2023-09-16T05:58,192.168.0.1,192.168.0.2,anonymous,ServerABC,api-called,API called: API1 from IP 192.168.0.1,error,0.20
Bangalore,2023-09-14T05:24,192.168.10.5,10.1.1.2,user123,Workstation123,network-disconnected,Device 'Workstation123' disconnected from the network at IP 192.168.10.5,informational,0.13
Bangalore,2023-09-14T10:02,140.137.209.210,205.72.113.35,admin,Workstation123,application-usage,User 'admin' used application 'App5',error,0.67
Bangalore,2023-09-18T08:36,192.168.0.1,192.168.2.6,admin,Workstation123,network-disconnected,Device 'Workstation123' disconnected from the network at IP 192.168.0.1,critical,0.13
Bangalore,2023-09-17T18:33,192.168.0.1,172.16.0.20,anonymous,ServerABC,malware-detection,Malware detected: File 'file488.txt' found on device 'ServerABC',informational,0.37
Bangalore,2023-09-17T00:15,10.0.0.100,10.0.0.3,admin,ServerABC,auth-failed,Failed login attempt for user 'admin' from IP 10.0.0.100,informational,0.33
Bangalore,2023-09-17T17:23,192.168.0.1,192.168.0.2,user123,Workstation123,firewall-change,Firewall rule change: Port 40433 opened for IP 192.168.0.1,warning,0.30
Bangalore,2023-09-17T00:25,172.16.1.100,192.168.0.2,anonymous,Workstation123,system-restart,System restart: Reason6,warning,0.30
Bangalore,2023-09-16T19:58,52.130.27.10,211.171.146.25,admin,ServerABC,firewall-change,Firewall rule change: Port 63168 opened for IP 52.130.27.10,warning,0.83
Bangalore,2023-09-12T18:37,88.67.70.198,238.111.43.108,anonymous,ServerABC,system-restart,System restart: Reason9,critical,0.83
Bangalore,2023-09-16T19:40,192.168.10.5,10.1.1.2,admin,Workstation123,application-usage,User 'admin' used application 'App10',error,0.13
Bangalore,2023-09-15T01:08,10.0.0.100,192.168.2.6,guest,Workstation123,auth-success,Successful login for user 'guest' from IP 10.0.0.100,critical,0.10
Bangalore,2023-09-15T05:52,10.0.0.2,192.168.0.2,admin,DeviceXYZ,auth-success,Successful login for user 'admin' from IP 10.0.0.2,informational,0.10
Bangalore,2023-09-18T00:46,243.45.51.103,58.26.27.142,guest,Workstation123,dns-queries,DNS query from IP 243.45.51.103 for domain 'example94.com',error,0.70
Bangalore,2023-09-16T05:00,172.16.1.100,192.168.0.3,admin,DeviceXYZ,software-update,Software update: Software6 updated to version v3,warning,0.27
Bangalore,2023-09-14T11:17,192.168.0.1,10.1.1.2,user123,Workstation123,api-called,API called: API5 from IP 192.168.0.1,informational,0.20
Bangalore,2023-09-13T05:16,192.168.1.100,10.0.0.3,anonymous,ServerABC,api-called,API called: API5 from IP 192.168.1.100,warning,0.20
Bangalore,2023-09-15T05:30,172.16.1.100,192.168.0.3,anonymous,Workstation123,auth-failed,Failed login attempt for user 'anonymous' from IP 172.16.1.100,informational,0.33
Bangalore,2023-09-14T03:42,192.168.2.5,10.10.10.20,anonymous,DeviceXYZ,file-access,File access: Delete to file '/path/to/file772.txt' by user 'anonymous' from IP 192.168.2.5,critical,0.23
Bangalore,2023-09-13T18:10,172.16.0.10,192.168.2.6,user123,ServerABC,system-failure,Critical system failure: Error message: 72,warning,0.37
Bangalore,2023-09-13T00:05,192.168.0.1,192.168.0.3,admin,DeviceXYZ,network-connected,Device 'DeviceXYZ' connected to the network at IP 192.168.0.1,critical,0.13
Bangalore,2023-09-15T14:46,10.10.10.10,192.168.0.2,admin,DeviceXYZ,auth-lockout,User 'admin' locked out after multiple failed login attempts from IP 10.10.10.10,critical,0.37
Bangalore,2023-09-15T19:09,172.16.1.100,192.168.0.2,user123,ServerABC,network-disconnected,Device 'ServerABC' disconnected from the network at IP 172.16.1.100,critical,0.13
Bangalore,2023-09-14T20:38,172.16.0.10,192.168.0.3,guest,Workstation123,network-disconnected,Device 'Workstation123' disconnected from the network at IP 172.16.0.10,warning,0.13
Bangalore,2023-09-16T13:53,10.1.1.1,192.168.10.6,user123,DeviceXYZ,network-disconnected,Device 'DeviceXYZ' disconnected from the network at IP 10.1.1.1,informational,0.13
Bangalore,2023-09-15T03:28,192.168.2.5,192.168.0.3,guest,DeviceXYZ,malware-detection,Malware detected: File 'file680.txt' found on device 'DeviceXYZ',warning,0.37
Bangalore,2023-09-16T15:49,21.216.189.142,40.86.104.212,admin,ServerABC,dns-queries,DNS query from IP 21.216.189.142 for domain 'example905.com',error,0.70
Bangalore,2023-09-16T14:52,172.16.0.10,10.0.0.101,guest,DeviceXYZ,api-called,API called: API3 from IP 172.16.0.10,informational,0.20
Bangalore,2023-09-17T18:11,192.168.2.5,172.16.0.20,guest,ServerABC,malware-detection,Malware detected: File 'file145.txt' found on device 'ServerABC',critical,0.37
Bangalore,2023-09-18T13:23,172.16.1.100,172.16.0.20,anonymous,ServerABC,dns-queries,DNS query from IP 172.16.1.100 for domain 'example461.com',informational,0.17
Bangalore,2023-09-13T19:55,172.16.1.100,10.10.10.20,admin,DeviceXYZ,network-disconnected,Device 'DeviceXYZ' disconnected from the network at IP 172.16.1.100,informational,0.13
Bangalore,2023-09-16T05:59,192.168.10.5,192.168.10.6,guest,ServerABC,network-connected,Device 'ServerABC' connected to the network at IP 192.168.10.5,informational,0.13
Bangalore,2023-09-12T23:57,172.16.1.100,10.10.10.20,user123,DeviceXYZ,malware-detection,Malware detected: File 'file394.txt' found on device 'DeviceXYZ',informational,0.37
Bangalore,2023-09-17T15:39,192.168.10.5,192.168.10.6,user123,ServerABC,software-update,Software update: Software8 updated to version v4,error,0.27
Bangalore,2023-09-16T15:47,172.16.1.100,172.16.0.20,anonymous,Workstation123,software-update,Software update: Software8 updated to version v4,error,0.27
Bangalore,2023-09-17T02:38,192.168.2.5,172.16.0.20,anonymous,Workstation123,network-connected,Device 'Workstation123' connected to the network at IP 192.168.2.5,error,0.13
Bangalore,2023-09-14T14:10,192.168.2.5,10.0.0.3,guest,DeviceXYZ,system-shutdown,System shutdown: Reason3,warning,0.33
Bangalore,2023-09-16T22:55,192.168.0.1,192.168.2.6,user123,ServerABC,firewall-change,Firewall rule change: Port 48313 opened for IP 192.168.0.1,critical,0.30
Bangalore,2023-09-14T09:54,172.16.1.100,10.0.0.3,guest,Workstation123,api-called,API called: API4 from IP 172.16.1.100,warning,0.20
Bangalore,2023-09-17T17:20,47.45.186.161,163.202.75.224,admin,DeviceXYZ,auth-failed,Failed login attempt for user 'admin' from IP 47.45.186.161,critical,0.87
